bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF297HWT	80	ENCFF802YSD	80	ZEB1-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR418KUS
ENCFF795XBH	235	ENCFF795UVG	175	TFDP1-human	K562geneticallymodifiedusingstabletransfection	ENCSR017GBO
ENCFF070MZX	225	ENCFF795UVG	175	TFDP1-human	K562geneticallymodifiedusingstabletransfection	ENCSR017GBO
ENCFF058RXV	125	ENCFF895MWF	65	REST-human	HL60	ENCSR000BTF
ENCFF372SGD	75	ENCFF895MWF	65	REST-human	HL60	ENCSR000BTF
ENCFF269VOK	150	ENCFF579QDW	130	SREBF1-human	GM12878	ENCSR000DYU
ENCFF177QCA	130	ENCFF579QDW	130	SREBF1-human	GM12878	ENCSR000DYU
ENCFF119WQP	195	ENCFF782HSW	530	CTCF-human	tibialnervefemaleadult51years	ENCSR793YAD
ENCFF654KYF	150	ENCFF540GSY	90	CTCF-human	BE2C	ENCSR000DQD
ENCFF824XFI	130	ENCFF540GSY	90	CTCF-human	BE2C	ENCSR000DQD
ENCFF682RUI	110	ENCFF023NGN	115	ZMIZ1-human	K562	ENCSR000EFQ
ENCFF991RVH	105	ENCFF023NGN	115	ZMIZ1-human	K562	ENCSR000EFQ
ENCFF249LHW	125	ENCFF705DPZ	85	SP2-human	HepG2	ENCSR000BOU
ENCFF499PEW	115	ENCFF705DPZ	85	SP2-human	HepG2	ENCSR000BOU
ENCFF550BMQ	220	ENCFF829HZY	155	CTCF-human	K562	ENCSR000AKO
ENCFF871GXE	180	ENCFF829HZY	155	CTCF-human	K562	ENCSR000AKO
ENCFF686FEO	60	ENCFF473WBH	200	EP300-human	H1	ENCSR000AUQ
ENCFF736JCX	90	ENCFF949IKS	75	MYC-human	HeLaS3	ENCSR000DLN
ENCFF393ULV	95	ENCFF949IKS	75	MYC-human	HeLaS3	ENCSR000DLN
ENCFF780LDK	125	ENCFF165KZY	115	IRF3-human	HepG2	ENCSR000EEJ
ENCFF362OKB	120	ENCFF165KZY	115	IRF3-human	HepG2	ENCSR000EEJ
ENCFF381SOT	90	ENCFF438FFV	100	POU2F2-human	GM12878	ENCSR000BGP
ENCFF376YKR	105	ENCFF438FFV	100	POU2F2-human	GM12878	ENCSR000BGP
ENCFF928AKT	125	ENCFF438FFV	100	POU2F2-human	GM12878	ENCSR000BGP
ENCFF140DYM	125	ENCFF298NLV	125	CTCF-human	skeletalmusclemyoblastmaleadult22years	ENCSR000ANE
ENCFF585PNR	185	ENCFF298NLV	125	CTCF-human	skeletalmusclemyoblastmaleadult22years	ENCSR000ANE
ENCFF739ELO	225	ENCFF838GQE	200	CTCF-human	transversecolonfemaleadult51years	ENCSR449SEF
ENCFF545AXC	230	ENCFF838GQE	200	CTCF-human	transversecolonfemaleadult51years	ENCSR449SEF
ENCFF238NNG	80	ENCFF438FFV	100	EP300-human	GM12878	ENCSR000BHB
ENCFF725DLZ	105	ENCFF438FFV	100	EP300-human	GM12878	ENCSR000BHB
ENCFF180KHA	125	ENCFF200YPH	85	REST-human	livermaleadult32years	ENCSR867WPH
ENCFF770RPH	120	ENCFF200YPH	85	REST-human	livermaleadult32years	ENCSR867WPH
ENCFF396GSL	110	ENCFF272DEZ	150	UBTF-human	GM12878	ENCSR459FTB
ENCFF898VJT	105	ENCFF272DEZ	150	UBTF-human	GM12878	ENCSR459FTB
ENCFF081HVQ	110	ENCFF873PSH	85	CTCF-human	K562	ENCSR000DWE
ENCFF494VZW	140	ENCFF873PSH	85	CTCF-human	K562	ENCSR000DWE
ENCFF150BQN	140	ENCFF629FKE	100	CTCF-human	fibroblastofvillousmesenchyme	ENCSR000DVQ
ENCFF537KZX	130	ENCFF629FKE	100	CTCF-human	fibroblastofvillousmesenchyme	ENCSR000DVQ
ENCFF067TWQ	100	ENCFF234NVU	110	YY1-human	K562	ENCSR000BMH
ENCFF567GMS	100	ENCFF234NVU	110	YY1-human	K562	ENCSR000BMH
ENCFF179ZBY	90	ENCFF754WTG	80	STAT5A-human	GM12878	ENCSR000BQZ
ENCFF870IWV	100	ENCFF754WTG	80	STAT5A-human	GM12878	ENCSR000BQZ
ENCFF988VSQ	115	ENCFF023NGN	115	BHLHE40-human	K562	ENCSR000EGV
ENCFF213JOK	120	ENCFF023NGN	115	BHLHE40-human	K562	ENCSR000EGV
ENCFF017BBF	145	ENCFF656HEF	110	BCL3-human	A549treatedwith002ethanolfor1hour	ENCSR000BQH
ENCFF421BVL	120	ENCFF656HEF	110	BCL3-human	A549treatedwith002ethanolfor1hour	ENCSR000BQH
ENCFF490YHN	100	ENCFF436WVQ	140	MAFK-human	HeLaS3	ENCSR000ECK
ENCFF161SWW	110	ENCFF436WVQ	140	MAFK-human	HeLaS3	ENCSR000ECK
ENCFF982EYL	100	ENCFF436WVQ	140	MAFK-human	HeLaS3	ENCSR000ECK
ENCFF311TXI	110	ENCFF436WVQ	140	MAFK-human	HeLaS3	ENCSR000ECK
ENCFF953HVZ	150	ENCFF985NSN	70	FOXA1-human	liverfemalechild4years	ENCSR324RCI
ENCFF455DUC	165	ENCFF985NSN	70	FOXA1-human	liverfemalechild4years	ENCSR324RCI
ENCFF304FMS	105	ENCFF229FMX	70	ZNF644-human	HepG2geneticallymodifiedusingCRISPR	ENCSR578CXC
ENCFF060HQQ	100	ENCFF229FMX	70	ZNF644-human	HepG2geneticallymodifiedusingCRISPR	ENCSR578CXC
ENCFF036JBA	100	ENCFF229FMX	70	ZNF639-human	HepG2geneticallymodifiedusingCRISPR	ENCSR665UFC
ENCFF722EDJ	215	ENCFF229FMX	70	ZNF639-human	HepG2geneticallymodifiedusingCRISPR	ENCSR665UFC
ENCFF970XFN	115	ENCFF894EOG	70	ETV4-human	HepG2	ENCSR714YZG
ENCFF914XSR	135	ENCFF894EOG	70	ETV4-human	HepG2	ENCSR714YZG
ENCFF604ODF	145	ENCFF113QYJ	80	TCF7-human	HepG2	ENCSR444LIN
ENCFF523HQR	120	ENCFF113QYJ	80	TCF7-human	HepG2	ENCSR444LIN
ENCFF024QRE	120	ENCFF579QDW	130	BHLHE40-human	GM12878	ENCSR000DZJ
ENCFF435RCL	125	ENCFF579QDW	130	BHLHE40-human	GM12878	ENCSR000DZJ
ENCFF555PKQ	220	ENCFF492OBI	90	CTCF-human	uterusfemaleadult51years	ENCSR527TPP
ENCFF282LOM	255	ENCFF914STU	185	ZNF263-human	HEK293	ENCSR000EVD
ENCFF554BHA	220	ENCFF914STU	185	ZNF263-human	HEK293	ENCSR000EVD
ENCFF683DUA	110	ENCFF229FMX	70	ARID4B-human	HepG2geneticallymodifiedusingCRISPR	ENCSR988LZG
ENCFF213AJW	115	ENCFF229FMX	70	ARID4B-human	HepG2geneticallymodifiedusingCRISPR	ENCSR988LZG
ENCFF382TBW	125	ENCFF077ITP	130	YY1-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BLZ
ENCFF660NOK	125	ENCFF077ITP	130	YY1-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BLZ
ENCFF722SOU	245	ENCFF535IMT	240	CTCF-human	sigmoidcolonmaleadult54years	ENCSR857RJQ
ENCFF824KPX	95	ENCFF656HEF	110	ETS1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPU
ENCFF714CRL	120	ENCFF656HEF	110	ETS1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPU
ENCFF080WHB	175	ENCFF610PNU	100	ZBTB33-human	livermaleadult32years	ENCSR516HUP
ENCFF528ZOZ	175	ENCFF610PNU	100	ZBTB33-human	livermaleadult32years	ENCSR516HUP
ENCFF911WGI	100	ENCFF175NMQ	90	ATF3-human	HepG2	ENCSR000BKE
ENCFF357WAY	140	ENCFF175NMQ	90	ATF3-human	HepG2	ENCSR000BKE
ENCFF499BAH	120	ENCFF285LVE	110	YY1-human	HepG2	ENCSR000BNT
ENCFF056BXB	140	ENCFF285LVE	110	YY1-human	HepG2	ENCSR000BNT
ENCFF475SSV	185	ENCFF925HTZ	455	CTCF-human	tibialnervefemaleadult53years	ENCSR875NEW
ENCFF649NFF	130	ENCFF477ZKJ	90	CUX1-human	GM12878	ENCSR000DYR
ENCFF313RZR	120	ENCFF477ZKJ	90	CUX1-human	GM12878	ENCSR000DYR
ENCFF420BSH	115	ENCFF165KZY	115	MAFK-human	HepG2	ENCSR000EEB
ENCFF326SGF	125	ENCFF165KZY	115	MAFK-human	HepG2	ENCSR000EEB
ENCFF540ABH	230	ENCFF281TXN	235	CTCF-human	thyroidglandmaleadult37years	ENCSR505ZGX
ENCFF507NBQ	90	ENCFF229FMX	70	KLF9-human	HepG2geneticallymodifiedusingCRISPR	ENCSR938ETG
ENCFF028QZW	90	ENCFF229FMX	70	KLF9-human	HepG2geneticallymodifiedusingCRISPR	ENCSR938ETG
ENCFF797FVU	140	ENCFF213VVQ	70	HMBOX1-human	K562	ENCSR757IIU
ENCFF202BLM	150	ENCFF213VVQ	70	HMBOX1-human	K562	ENCSR757IIU
ENCFF522LXS	180	ENCFF944NDZ	515	CTCF-human	neutrophil	ENCSR785YRL
ENCFF839WER	195	ENCFF944NDZ	515	CTCF-human	neutrophil	ENCSR785YRL
ENCFF398GCQ	90	ENCFF138JNO	110	MYC-human	HepG2	ENCSR000DLR
ENCFF263DIF	80	ENCFF138JNO	110	MYC-human	HepG2	ENCSR000DLR
ENCFF572EKC	75	ENCFF138JNO	110	MYC-human	HepG2	ENCSR000DLR
ENCFF894EID	145	ENCFF430ZCF	150	REST-human	GM12878	ENCSR000BQS
ENCFF569QEN	95	ENCFF430ZCF	150	REST-human	GM12878	ENCSR000BQS
ENCFF943YXO	140	ENCFF985NSN	70	FOXA2-human	liverfemalechild4years	ENCSR080XEY
ENCFF648XID	160	ENCFF985NSN	70	FOXA2-human	liverfemalechild4years	ENCSR080XEY
ENCFF174ZGG	120	ENCFF337WHA	80	EGR1-human	livermaleadult32years	ENCSR736BUG
ENCFF995SEN	150	ENCFF337WHA	80	EGR1-human	livermaleadult32years	ENCSR736BUG
ENCFF903YUY	145	ENCFF515AXB	130	CTCF-human	GM20000	ENCSR000DLG
ENCFF875VWC	125	ENCFF515AXB	130	CTCF-human	GM20000	ENCSR000DLG
ENCFF254ZSI	85	ENCFF946WAV	120	MYC-human	MCF7originatedfromMCF7	ENCSR000DMM
ENCFF696MVS	95	ENCFF946WAV	120	MYC-human	MCF7originatedfromMCF7	ENCSR000DMM
ENCFF993OXP	110	ENCFF705DPZ	85	TEAD4-human	HepG2	ENCSR000BRP
ENCFF175QJE	135	ENCFF705DPZ	85	TEAD4-human	HepG2	ENCSR000BRP
ENCFF200GEK	110	ENCFF691TKO	100	ATF2-human	H1	ENCSR000BQU
ENCFF691OFH	135	ENCFF691TKO	100	ATF2-human	H1	ENCSR000BQU
ENCFF462BSP	110	ENCFF272DEZ	150	CEBPB-human	GM12878	ENCSR681NOM
ENCFF787QFQ	90	ENCFF272DEZ	150	CEBPB-human	GM12878	ENCSR681NOM
ENCFF209BDU	185	ENCFF780ZFP	190	CTCF-human	endothelialcellofumbilicalveinmalenewborn	ENCSR000ALA
ENCFF102ZOS	195	ENCFF465FJI	155	USF2-human	K562geneticallymodifiedusingCRISPR	ENCSR359NFW
ENCFF979BFW	190	ENCFF465FJI	155	USF2-human	K562geneticallymodifiedusingCRISPR	ENCSR359NFW
ENCFF686DDV	145	ENCFF080BAM	70	CTCF-human	GM10266	ENCSR000DKR
ENCFF779BHG	115	ENCFF080BAM	70	CTCF-human	GM10266	ENCSR000DKR
ENCFF094BOF	110	ENCFF229FMX	70	DRAP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR765MKZ
ENCFF158DOO	125	ENCFF229FMX	70	DRAP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR765MKZ
ENCFF679DHO	105	ENCFF229FMX	70	IRF2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR604UJV
ENCFF919FST	110	ENCFF229FMX	70	IRF2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR604UJV
ENCFF420ZVF	110	ENCFF023NGN	115	USF2-human	K562	ENCSR000EHG
ENCFF434RFX	110	ENCFF023NGN	115	USF2-human	K562	ENCSR000EHG
ENCFF440GGX	105	ENCFF887ZEB	60	CTCF-human	HepG2	ENCSR000DUG
ENCFF618KYW	95	ENCFF887ZEB	60	CTCF-human	HepG2	ENCSR000DUG
ENCFF420VTB	120	ENCFF513EWK	90	USF2-human	H1	ENCSR000ECD
ENCFF992YZZ	110	ENCFF513EWK	90	USF2-human	H1	ENCSR000ECD
ENCFF466ZYL	90	ENCFF691TKO	100	SP2-human	H1	ENCSR000BQG
ENCFF581JII	120	ENCFF691TKO	100	SP2-human	H1	ENCSR000BQG
ENCFF724BYL	130	ENCFF332SVJ	80	ZNF3-human	K562geneticallymodifiedusingCRISPR	ENCSR195QFV
ENCFF059JNI	110	ENCFF348JCV	160	CTCF-human	spleenfemaleadult20yearsandfemaleadult30years	ENCSR000DNI
ENCFF061SRP	95	ENCFF348JCV	160	CTCF-human	spleenfemaleadult20yearsandfemaleadult30years	ENCSR000DNI
ENCFF358OUL	255	ENCFF643ELQ	140	TRIM28-human	HEK293	ENCSR618HNF
ENCFF939YGI	260	ENCFF643ELQ	140	TRIM28-human	HEK293	ENCSR618HNF
ENCFF553GDL	105	ENCFF812TGW	105	SP2-human	K562	ENCSR000BNL
ENCFF375CFX	120	ENCFF812TGW	105	SP2-human	K562	ENCSR000BNL
ENCFF650RFL	255	ENCFF244GCJ	90	NR4A1-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DJW
ENCFF602UAC	110	ENCFF244GCJ	90	NR4A1-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DJW
ENCFF106SSM	125	ENCFF279QEN	100	SFPQ-human	HepG2	ENCSR258SXK
ENCFF054IKS	120	ENCFF279QEN	100	SFPQ-human	HepG2	ENCSR258SXK
ENCFF741LEE	245	ENCFF829HZY	155	CBX2-human	K562	ENCSR000ATU
ENCFF240HQW	135	ENCFF157YWH	80	ZZZ3-human	GM12878	ENCSR000DNQ
ENCFF272UWD	120	ENCFF157YWH	80	ZZZ3-human	GM12878	ENCSR000DNQ
ENCFF692KWR	115	ENCFF016HFH	115	FOXA1-human	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000BKW
ENCFF311UOI	100	ENCFF016HFH	115	FOXA1-human	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000BKW
ENCFF129ZOT	135	ENCFF250FLP	120	USF1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BHX
ENCFF626ZDC	120	ENCFF250FLP	120	USF1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BHX
ENCFF865ISL	100	ENCFF023NGN	115	ELK1-human	K562	ENCSR000EFU
ENCFF554BLC	140	ENCFF023NGN	115	ELK1-human	K562	ENCSR000EFU
ENCFF705JKT	100	ENCFF383VZK	115	REST-human	SKNSH	ENCSR000BOZ
ENCFF247ZIP	115	ENCFF383VZK	115	REST-human	SKNSH	ENCSR000BOZ
ENCFF782OFZ	115	ENCFF165KZY	115	USF2-human	HepG2	ENCSR000EEF
ENCFF411RHI	115	ENCFF165KZY	115	USF2-human	HepG2	ENCSR000EEF
ENCFF261PTK	150	ENCFF754WTG	80	NFIC-human	GM12878	ENCSR000BRN
ENCFF838XZA	145	ENCFF754WTG	80	NFIC-human	GM12878	ENCSR000BRN
ENCFF477ASU	110	ENCFF419THA	90	CTCF-human	retinalpigmentepithelialcell	ENCSR000DVI
ENCFF720GUI	125	ENCFF419THA	90	CTCF-human	retinalpigmentepithelialcell	ENCSR000DVI
ENCFF121EED	115	ENCFF056OHH	125	CREB1-human	A549treatedwith002ethanolfor1hour	ENCSR000BRC
ENCFF397FGK	120	ENCFF948LKH	135	CTCF-human	H1	ENCSR000BNH
ENCFF551FQW	110	ENCFF948LKH	135	CTCF-human	H1	ENCSR000BNH
ENCFF153IJL	220	ENCFF746ZRB	110	CTCF-human	spleenfemaleadult53years	ENCSR601FEB
ENCFF674KGF	235	ENCFF746ZRB	110	CTCF-human	spleenfemaleadult53years	ENCSR601FEB
ENCFF940QAP	110	ENCFF767FSP	90	STAT2-human	K562treatedwithinterferonalphafor30minutes	ENCSR000FAT
ENCFF615CWW	115	ENCFF767FSP	90	STAT2-human	K562treatedwithinterferonalphafor30minutes	ENCSR000FAT
ENCFF408DZP	140	ENCFF408COK	140	CTCF-human	myotubeoriginatedfromskeletalmusclemyoblast	ENCSR000ANS
ENCFF275OTT	175	ENCFF408COK	140	CTCF-human	myotubeoriginatedfromskeletalmusclemyoblast	ENCSR000ANS
ENCFF818NIT	125	ENCFF229FMX	70	SOX13-human	HepG2geneticallymodifiedusingCRISPR	ENCSR715UCI
ENCFF699CPF	125	ENCFF229FMX	70	SOX13-human	HepG2geneticallymodifiedusingCRISPR	ENCSR715UCI
ENCFF405FFP	90	ENCFF229FMX	70	MLX-human	HepG2geneticallymodifiedusingCRISPR	ENCSR125DAD
ENCFF707MEF	90	ENCFF229FMX	70	MLX-human	HepG2geneticallymodifiedusingCRISPR	ENCSR125DAD
ENCFF268WQR	100	ENCFF229FMX	70	ZNF205-human	HepG2geneticallymodifiedusingCRISPR	ENCSR157CEN
ENCFF738UWF	100	ENCFF229FMX	70	ZNF205-human	HepG2geneticallymodifiedusingCRISPR	ENCSR157CEN
ENCFF489EBO	115	ENCFF948LKH	135	YY1-human	H1	ENCSR000BKD
ENCFF972SQO	155	ENCFF948LKH	135	YY1-human	H1	ENCSR000BKD
ENCFF573EJQ	105	ENCFF632ZLA	105	CTCF-human	brainmicrovascularendothelialcell	ENCSR000DTA
ENCFF828OEW	125	ENCFF632ZLA	105	CTCF-human	brainmicrovascularendothelialcell	ENCSR000DTA
ENCFF623PRW	130	ENCFF753JIU	150	CTCF-human	fibroblastofdermis	ENCSR000APM
ENCFF977USM	135	ENCFF753JIU	150	CTCF-human	fibroblastofdermis	ENCSR000APM
ENCFF160MJQ	245	ENCFF754MHP	240	CTCF-human	PC9	ENCSR243INX
ENCFF624TDL	175	ENCFF754MHP	240	CTCF-human	PC9	ENCSR243INX
ENCFF262QYO	125	ENCFF229FMX	70	ETV5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR096IIB
ENCFF833GRI	100	ENCFF229FMX	70	ETV5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR096IIB
ENCFF614SHU	95	ENCFF562HPN	105	PAX5-human	GM12878	ENCSR000BHJ
ENCFF475VQL	140	ENCFF562HPN	105	PAX5-human	GM12878	ENCSR000BHJ
ENCFF089EEX	110	ENCFF656HEF	110	SIX5-human	A549treatedwith002ethanolfor1hour	ENCSR000BRL
ENCFF842ISP	130	ENCFF656HEF	110	SIX5-human	A549treatedwith002ethanolfor1hour	ENCSR000BRL
ENCFF393ZAK	120	ENCFF772PJM	120	THAP1-human	K562	ENCSR000BNN
ENCFF680COV	90	ENCFF772PJM	120	THAP1-human	K562	ENCSR000BNN
ENCFF793JKZ	120	ENCFF823WOO	120	MXI1-human	IMR90	ENCSR000EFE
ENCFF552LJD	110	ENCFF823WOO	120	MXI1-human	IMR90	ENCSR000EFE
ENCFF505LKJ	105	ENCFF174FWY	55	CTCF-human	GM12872	ENCSR000DRN
ENCFF246CXG	120	ENCFF174FWY	55	CTCF-human	GM12872	ENCSR000DRN
ENCFF208WRC	125	ENCFF174FWY	55	CTCF-human	GM12872	ENCSR000DRN
ENCFF417QDU	160	ENCFF337WHA	80	GABPA-human	livermaleadult32years	ENCSR038GMB
ENCFF632BNR	175	ENCFF337WHA	80	GABPA-human	livermaleadult32years	ENCSR038GMB
ENCFF932SAB	120	ENCFF948LKH	135	GABPA-human	H1	ENCSR000BIW
ENCFF325UFA	150	ENCFF948LKH	135	GABPA-human	H1	ENCSR000BIW
ENCFF655YHQ	125	ENCFF144BVJ	120	JUND-human	SKNSH	ENCSR000EIB
ENCFF017ICG	125	ENCFF144BVJ	120	JUND-human	SKNSH	ENCSR000EIB
ENCFF757GXN	110	ENCFF918AJW	110	ELK1-human	A549	ENCSR623KNM
ENCFF826GGN	120	ENCFF918AJW	110	ELK1-human	A549	ENCSR623KNM
ENCFF872PGU	150	ENCFF441DOX	160	CTCF-human	kidneymaleadult22yearsandmaleadult27yearsandmaleadult35years	ENCSR000DMC
ENCFF467TZG	65	ENCFF441DOX	160	CTCF-human	kidneymaleadult22yearsandmaleadult27yearsandmaleadult35years	ENCSR000DMC
ENCFF485UGO	150	ENCFF441DOX	160	CTCF-human	kidneymaleadult22yearsandmaleadult27yearsandmaleadult35years	ENCSR000DMC
ENCFF788OKP	245	ENCFF569SHN	195	CTCF-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000AUE
ENCFF944TNR	240	ENCFF569SHN	195	CTCF-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000AUE
ENCFF500HFO	195	ENCFF036ZLP	80	FOSL1-human	K562geneticallymodifiedusingstabletransfection	ENCSR239ZLZ
ENCFF581AZU	240	ENCFF036ZLP	80	FOSL1-human	K562geneticallymodifiedusingstabletransfection	ENCSR239ZLZ
ENCFF938DPX	100	ENCFF982GQU	70	ETS1-human	GM23338originatedfromGM23248	ENCSR534VHI
ENCFF200FYK	85	ENCFF982GQU	70	ETS1-human	GM23338originatedfromGM23248	ENCSR534VHI
ENCFF810AAT	80	ENCFF582CVJ	95	TGIF2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR993LMB
ENCFF479GFZ	80	ENCFF582CVJ	95	TGIF2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR993LMB
ENCFF995WDJ	90	ENCFF513EWK	90	MXI1-human	H1	ENCSR000EBR
ENCFF177BJF	110	ENCFF513EWK	90	MXI1-human	H1	ENCSR000EBR
ENCFF105HJB	235	ENCFF410WPD	505	CTCF-human	rightatriumauricularregionfemaleadult51years	ENCSR232OFD
ENCFF294RJT	110	ENCFF229FMX	70	ZNF614-human	HepG2geneticallymodifiedusingCRISPR	ENCSR011CIR
ENCFF947UOE	110	ENCFF229FMX	70	ZNF614-human	HepG2geneticallymodifiedusingCRISPR	ENCSR011CIR
ENCFF740VTK	140	ENCFF473WBH	200	CTCF-human	H1	ENCSR000AMF
ENCFF190HOH	210	ENCFF634UHG	200	CTCF-human	gastrocnemiusmedialismaleadult37years	ENCSR594NSU
ENCFF952VBJ	110	ENCFF667XXT	75	ZBTB11-human	MCF7	ENCSR155VDK
ENCFF619YHC	120	ENCFF667XXT	75	ZBTB11-human	MCF7	ENCSR155VDK
ENCFF563UOO	210	ENCFF255WXC	1145	CTCF-human	esophagusmuscularismucosafemaleadult51years	ENCSR443WKD
ENCFF573TJT	125	ENCFF016HFH	115	ESR1-human	Ishikawatreatedwith100nMgenisteinfor1hour	ENCSR000BKL
ENCFF452EGM	125	ENCFF016HFH	115	ESR1-human	Ishikawatreatedwith100nMgenisteinfor1hour	ENCSR000BKL
ENCFF836NST	90	ENCFF204GLJ	90	ETV6-human	K562	ENCSR000FCE
ENCFF002FHN	130	ENCFF204GLJ	90	ETV6-human	K562	ENCSR000FCE
ENCFF959AJO	115	ENCFF139XSQ	65	CTCF-human	MCF7	ENCSR000AHD
ENCFF049OXC	110	ENCFF139XSQ	65	CTCF-human	MCF7	ENCSR000AHD
ENCFF982TSB	115	ENCFF077ITP	130	USF1-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BMF
ENCFF434GLS	125	ENCFF077ITP	130	USF1-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BMF
ENCFF832LYJ	85	ENCFF240DER	75	REST-human	PFSK1	ENCSR000BJP
ENCFF896NTZ	105	ENCFF240DER	75	REST-human	PFSK1	ENCSR000BJP
ENCFF033UID	85	ENCFF505ZUJ	75	SMAD5-human	K562	ENCSR000FCD
ENCFF412DRO	80	ENCFF505ZUJ	75	SMAD5-human	K562	ENCSR000FCD
ENCFF485BYB	115	ENCFF157YWH	80	NR2C2-human	GM12878	ENCSR000EUL
ENCFF199XSZ	140	ENCFF157YWH	80	NR2C2-human	GM12878	ENCSR000EUL
ENCFF819ZGP	100	ENCFF229FMX	70	TFE3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR589SNT
ENCFF900SVA	110	ENCFF229FMX	70	TFE3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR589SNT
ENCFF232XTK	130	ENCFF985NSN	70	HNF4G-human	liverfemalechild4years	ENCSR297GII
ENCFF879HPF	110	ENCFF985NSN	70	HNF4G-human	liverfemalechild4years	ENCSR297GII
ENCFF515QUC	90	ENCFF579QDW	130	ZNF143-human	GM12878	ENCSR000DZL
ENCFF803OPC	110	ENCFF579QDW	130	ZNF143-human	GM12878	ENCSR000DZL
ENCFF782XEN	110	ENCFF449CRS	390	RCOR1-human	SKNSH	ENCSR009TKN
ENCFF341ZOE	120	ENCFF449CRS	390	RCOR1-human	SKNSH	ENCSR009TKN
ENCFF018VMV	115	ENCFF846BEG	135	CTCF-human	HEK293	ENCSR000DTW
ENCFF594YMC	110	ENCFF846BEG	135	CTCF-human	HEK293	ENCSR000DTW
ENCFF142OZB	125	ENCFF857MFM	130	CEBPB-human	A549	ENCSR000DYI
ENCFF912PMA	110	ENCFF857MFM	130	CEBPB-human	A549	ENCSR000DYI
ENCFF963DAM	120	ENCFF513EWK	90	JUND-human	H1	ENCSR000EBZ
ENCFF460PKZ	120	ENCFF513EWK	90	JUND-human	H1	ENCSR000EBZ
ENCFF645RWA	120	ENCFF156FED	110	POU5F1-human	K562	ENCSR364SNE
ENCFF178ZLZ	120	ENCFF156FED	110	POU5F1-human	K562	ENCSR364SNE
ENCFF593XTM	255	ENCFF159FKZ	130	GABPA-human	K562geneticallymodifiedusingstabletransfection	ENCSR290MUH
ENCFF400MMA	280	ENCFF159FKZ	130	GABPA-human	K562geneticallymodifiedusingstabletransfection	ENCSR290MUH
ENCFF056XVW	130	ENCFF162ZOO	70	DEAF1-human	K562	ENCSR387SYS
ENCFF540SXT	110	ENCFF162ZOO	70	DEAF1-human	K562	ENCSR387SYS
ENCFF212FUJ	155	ENCFF400VEC	75	CREB1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR331ORD
ENCFF777VSR	175	ENCFF400VEC	75	CREB1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR331ORD
ENCFF545GUP	120	ENCFF227BBG	95	CTCF-human	choroidplexusepithelialcell	ENCSR000DTL
ENCFF425AZR	110	ENCFF227BBG	95	CTCF-human	choroidplexusepithelialcell	ENCSR000DTL
ENCFF072SKI	105	ENCFF332SVJ	80	PBX2-human	K562geneticallymodifiedusingCRISPR	ENCSR633EIC
ENCFF030XLK	90	ENCFF332SVJ	80	PBX2-human	K562geneticallymodifiedusingCRISPR	ENCSR633EIC
ENCFF202JNR	205	ENCFF259JSG	90	CTCF-human	tibialarterymaleadult37years	ENCSR079YAP
ENCFF115RLN	95	ENCFF293DEQ	100	YY1-human	NT2D1	ENCSR000EXG
ENCFF004FTO	90	ENCFF293DEQ	100	YY1-human	NT2D1	ENCSR000EXG
ENCFF703YNU	125	ENCFF767FSP	90	JUN-human	K562treatedwithinterferonalphafor30minutes	ENCSR000EGH
ENCFF527CTN	130	ENCFF767FSP	90	JUN-human	K562treatedwithinterferonalphafor30minutes	ENCSR000EGH
ENCFF908SPX	110	ENCFF113QYJ	80	SOX13-human	HepG2	ENCSR445ACU
ENCFF010EFV	135	ENCFF113QYJ	80	SOX13-human	HepG2	ENCSR445ACU
ENCFF925CYF	130	ENCFF156FED	110	SMAD2-human	K562	ENCSR189PYJ
